t,eta
63.5,-0.79712
63.6,-0.73658
63.7,-0.66953
63.8,-0.61629
63.9,-0.57911
64,-0.5528
64.1,-0.53167
64.2,-0.49604
64.3,-0.45702
64.4,-0.40062
64.5,-0.32503
64.6,-0.22789
64.7,-0.11938
64.8,0.0026602
64.9,0.11165
65,0.20214
65.1,0.2715
65.2,0.34127
65.3,0.41714
65.4,0.51263
65.5,0.61862
65.6,0.72759
65.7,0.80524
65.8,0.83507
65.9,0.8316
66,0.81097
66.1,0.80409
66.2,0.79305
66.3,0.76142
66.4,0.71826
66.5,0.67352
66.6,0.64722
66.7,0.6207
66.8,0.59443
66.9,0.57265
67,0.52744
67.1,0.4575
67.2,0.3822
67.3,0.30659
67.4,0.23129
67.5,0.16925
67.6,0.13071
67.7,0.10566
67.8,0.099423
67.9,0.1208
68,0.14701
68.1,0.19803
68.2,0.2559
68.3,0.31711
68.4,0.38158
68.5,0.44813
68.6,0.49071
68.7,0.49938
68.8,0.47682
68.9,0.437
69,0.36787
69.1,0.26468
69.2,0.14729
69.3,0.017288
69.4,-0.13696
69.5,-0.29334
69.6,-0.44455
69.7,-0.59661
69.8,-0.74334
69.9,-0.87532
70,-0.98381
70.1,-1.0777
70.2,-1.1568
70.3,-1.2074
70.4,-1.2236
70.5,-1.2181
70.6,-1.2345
70.7,-1.2719
70.8,-1.3189
70.9,-1.3609
71,-1.3578
71.1,-1.2989
71.2,-1.2008
71.3,-1.0971
71.4,-0.97812
71.5,-0.8453
71.6,-0.69522
71.7,-0.53383
71.8,-0.37032
71.9,-0.22225
72,-0.073621
72.1,0.02827
72.2,0.070738
72.3,0.094705
72.4,0.11549
72.5,0.12773
72.6,0.11324
72.7,0.097503
72.8,0.10668
72.9,0.15029
73,0.22279
73.1,0.31371
73.2,0.39118
73.3,0.46289
73.4,0.55533
73.5,0.67834
73.6,0.80787
73.7,0.91953
73.8,1.017
73.9,1.092
74,1.1573
74.1,1.2066
74.2,1.2611
74.3,1.3115
74.4,1.3681
74.5,1.4427
74.6,1.5094
74.7,1.5573
74.8,1.5701
74.9,1.5738
75,1.5504
75.1,1.4853
75.2,1.3906
75.3,1.2451
75.4,1.0607
75.5,0.86013
75.6,0.65644
75.7,0.44811
75.8,0.23557
75.9,0.033134
76,-0.14256
76.1,-0.29269
76.2,-0.41063
76.3,-0.50786
76.4,-0.58508
76.5,-0.64921
76.6,-0.68979
76.7,-0.71816
76.8,-0.74896
76.9,-0.79796
77,-0.85207
77.1,-0.89463
77.2,-0.93125
77.3,-0.97158
77.4,-1.0224
77.5,-1.0941
77.6,-1.1955
77.7,-1.3095
77.8,-1.4176
77.9,-1.4962
78,-1.5412
78.1,-1.5439
78.2,-1.4941
78.3,-1.4178
78.4,-1.3227
78.5,-1.1888
78.6,-1.0261
78.7,-0.83516
78.8,-0.64251
78.9,-0.46706
79,-0.32511
79.1,-0.21321
79.2,-0.11157
79.3,-0.018046
79.4,0.056942
79.5,0.1343
79.6,0.20472
79.7,0.24419
79.8,0.26477
79.9,0.27764
80,0.28484
80.1,0.31159
80.2,0.34326
80.3,0.37711
80.4,0.41925
80.5,0.45796
80.6,0.4718
80.7,0.47435
80.8,0.48646
80.9,0.48131
81,0.45739
81.1,0.42591
81.2,0.37893
81.3,0.34613
81.4,0.34305
81.5,0.38154
81.6,0.43128
81.7,0.4547
81.8,0.4644
81.9,0.46454
82,0.46078
82.1,0.48599
82.2,0.54354
82.3,0.62871
82.4,0.72103
82.5,0.79337
82.6,0.85016
82.7,0.86126
82.8,0.84201
82.9,0.84396
83,0.86175
83.1,0.89181
83.2,0.90676
83.3,0.89208
83.4,0.86804
83.5,0.81945
83.6,0.76235
83.7,0.69279
83.8,0.59771
83.9,0.49739
84,0.39896
84.1,0.31283
84.2,0.2285
84.3,0.15252
84.4,0.080009
84.5,0.0014617
84.6,-0.069601
84.7,-0.13739
84.8,-0.22022
84.9,-0.30482
85,-0.40039
85.1,-0.51444
85.2,-0.63391
85.3,-0.76508
85.4,-0.90786
85.5,-1.0409
85.6,-1.1688
85.7,-1.2897
85.8,-1.3956
85.9,-1.4911
86,-1.5797
86.1,-1.6499
86.2,-1.7035
86.3,-1.7341
86.4,-1.7349
86.5,-1.7132
86.6,-1.6991
86.7,-1.6722
86.8,-1.6398
86.9,-1.5867
87,-1.5095
87.1,-1.4051
87.2,-1.2796
87.3,-1.1439
87.4,-0.98754
87.5,-0.80212
87.6,-0.59855
87.7,-0.36527
87.8,-0.11756
87.9,0.12271
88,0.34037
88.1,0.54975
88.2,0.75122
88.3,0.95894
88.4,1.1888
88.5,1.4311
88.6,1.6729
88.7,1.8951
88.8,2.0955
88.9,2.26
89,2.3758
89.1,2.4421
89.2,2.4413
89.3,2.4011
89.4,2.3241
89.5,2.2057
89.6,2.0671
89.7,1.9019
89.8,1.733
89.9,1.5848
90,1.4578
90.1,1.3266
90.2,1.1846
90.3,1.0572
90.4,0.91399
90.5,0.7606
90.6,0.58395
90.7,0.39637
90.8,0.21964
90.9,0.03616
91,-0.16718
91.1,-0.37834
91.2,-0.58266
91.3,-0.76684
91.4,-0.93299
91.5,-1.0881
91.6,-1.2271
91.7,-1.353
91.8,-1.4447
91.9,-1.498
92,-1.5327
92.1,-1.5536
92.2,-1.5583
92.3,-1.5442
92.4,-1.5122
92.5,-1.4673
92.6,-1.4429
92.7,-1.4228
92.8,-1.3877
92.9,-1.3586
93,-1.3471
93.1,-1.3339
93.2,-1.3259
93.3,-1.3044
93.4,-1.2487
93.5,-1.1841
93.6,-1.1245
93.7,-1.0458
93.8,-0.93723
93.9,-0.83175
94,-0.72321
94.1,-0.60126
94.2,-0.46528
94.3,-0.3305
94.4,-0.20159
94.5,-0.083325
94.6,0.01528
94.7,0.12442
94.8,0.24865
94.9,0.36995
95,0.471
95.1,0.5766
95.2,0.67836
95.3,0.77077
95.4,0.86568
95.5,0.97354
95.6,1.0991
95.7,1.2261
95.8,1.3502
95.9,1.4754
96,1.6088
96.1,1.7063
96.2,1.7495
96.3,1.7311
96.4,1.6639
96.5,1.5707
96.6,1.4716
96.7,1.3534
96.8,1.1972
96.9,1.0387
97,0.88433
97.1,0.73874
97.2,0.60553
97.3,0.46901
97.4,0.3332
97.5,0.21544
97.6,0.12145
97.7,0.054574
97.8,0.006964
97.9,-0.017443
98,-0.010732
98.1,0.00043908
98.2,-0.015288
98.3,-0.063048
98.4,-0.12555
98.5,-0.18689
98.6,-0.23934
98.7,-0.27706
98.8,-0.31661
98.9,-0.35286
99,-0.37279
99.1,-0.36537
99.2,-0.32602
99.3,-0.30212
99.4,-0.30429
99.5,-0.31507
99.6,-0.33112
99.7,-0.36987
